materials_opaque_id,description,source,type,material_type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,quantity,material_mult,labour_mult,op_mult,eqpt
1,gypsum wallboard 0.5 in thick,rs-means,Unit,opaque,110017,ft2,,,,,,,,,,1.0,1.0,1.0,0.381,1.0
2,"standard wood studs with single bottom plate and double top plate, 16"" O.C., pneumatic nailer",rs-means,Assembly,opaque,240018,LF,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
3,polyethylene 4 ml vapour barrier,rs-means,Unit,opaque,090019,SQ,,,,,,,,,,0.01,1.0,1.0,0.543,1.0
4,"foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36",rs-means,Unit,opaque,090020,ft2,,,,,,,,,,1.0,0.84,1.0,0.229,1.0
5,"plywood sheathing, CDX, 0.5 in, pneumatic nailer",rs-means,Unit,opaque,080021,Ft2,,,,,,,,,,1.0,1.0,1.0,0.33,1.0
6,"weather barrier, spunbonded polyethylene",rs-means,Unit,opaque,090022,ft2,,,,,,,,,,1.0,1.0,1.0,0.29,1.0
7,"wood siding T&G ""B"" grade",rs-means,Unit,opaque,090023,ft2,,,,,,,,,,1.0,1.0,1.0,0.18,1.0
8,"joint sealants. tapes, foam, adhesive ",rs-means,Assembly,opaque,240018,CLF,,,,,,,,,,0.001,1.0,1.0,0.0,1.0
9,"waterproof sealer, 1 coat, sprayed",rs-means,Unit,opaque,110024,ft2,,,,,,,,,,1.0,1.0,1.0,0.35,1.0
10,"stains, paints, 2 coats sprayed",rs-means,Unit,opaque,110025,ft2,,,,,,,,,,1.0,1.0,1.0,0.36,1.0
11,"galvanized LB studs, 16 ga x 3-5/8\"" W studs 16\"" O.C. x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",rs-means,Unit,opaque,070026,LF,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
12,Polymer  EIFS with 2 in EPS and finish,rs-means,Unit,opaque,090027,ft2,,,,,,,,,,1.0,1.0,1.0,0.4,1.0
13,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",rs-means,Assembly,opaque,240018,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
14,"vinyl siding, clapboard profile, woodgrain texture, 0.048 "" thick, 8"" width",rs-means,Unit,opaque,090028,ft2,,,,,,,,,,1.0,1.0,1.0,0.377,1.0
15,"aluminum flashing, mill finish. 0.013 "" thick",rs-means,Assembly,opaque,240029,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
16,"metal decking strips, galvanized, 18 gauge",rs-means,Unit,opaque,070030,LF,,,,,,,,,,0.0766,1.0,1.0,0.0,1.0
17,"10 yr finish metal siding, 24 gauge, 0.0239 "" thick with fasteners",rs-means,Unit,opaque,090031,ft2,,,,,,,,,,1.0,1.0,1.0,0.315,1.0
