Time,SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Tot Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
01:00:00,3.319152E+00,8.400900E+04,3.330279E+00,1.610317E+04,2.056150E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.198398E+03,2.844050E-01,1.375206E+03,1.755947E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,2.161793E+02,2.760309E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
02:00:00,3.319152E+00,8.535645E+04,3.325050E+00,1.472803E+04,1.915690E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.313856E+03,2.844050E-01,1.259748E+03,1.638567E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,1.980296E+02,2.575791E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
03:00:00,3.319152E+00,8.636704E+04,3.323284E+00,1.370836E+04,1.811807E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.400450E+03,2.844050E-01,1.173155E+03,1.550536E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,1.844173E+02,2.437407E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
04:00:00,3.319152E+00,8.737763E+04,3.321762E+00,1.269070E+04,1.708155E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.487043E+03,2.844050E-01,1.086561E+03,1.462500E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,1.708050E+02,2.299017E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
05:00:00,3.319152E+00,8.805136E+04,3.320608E+00,1.201227E+04,1.639039E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.544772E+03,2.844050E-01,1.028833E+03,1.403812E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,1.617302E+02,2.206761E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
06:00:00,3.319152E+00,8.737763E+04,3.323370E+00,1.269684E+04,1.708981E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.487043E+03,2.844050E-01,1.086561E+03,1.462500E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,1.708050E+02,2.299017E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
07:00:00,3.319152E+00,8.501959E+04,3.334411E+00,1.510791E+04,1.955486E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,7.284992E+03,2.844050E-01,1.288613E+03,1.667911E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,2.025670E+02,2.621919E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
08:00:00,3.319152E+00,7.929292E+04,3.530262E+00,2.208620E+04,2.689568E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,6.794296E+03,2.844050E-01,1.779309E+03,2.166770E+03,2.844050E-01,1.343198E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,4.470783E-02,2.797033E+02,3.406113E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
09:00:00,3.319152E+00,7.289252E+04,3.512532E+00,2.874857E+04,3.364648E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,6.245871E+03,2.929950E-01,2.398039E+03,2.806594E+03,2.946704E-01,1.391680E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,6.032268E-02,4.937154E+02,5.778300E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
10:00:00,3.319152E+00,6.716584E+04,3.398784E+00,3.368166E+04,3.851850E+04,3.319152E+00,1.567581E+05,3.319152E+00,0.000000E+00,0.000000E+00,2.844050E-01,5.755175E+03,2.984735E-01,2.957847E+03,3.382608E+03,2.954657E-01,1.395436E+04,2.844050E-01,0.000000E+00,0.000000E+00,4.470783E-02,0.000000E+00,6.681591E-02,6.621401E+02,7.572265E+02,4.470783E-02,7.682183E+02,4.470783E-02,0.000000E+00,0.000000E+00
