Time,SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Tot Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
01:00:00,3.252730E+00,6.212828E+04,5.322029E+00,5.878397E+04,1.415253E+05,3.331032E+00,1.958121E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.323526E+03,5.202644E-01,5.746532E+03,1.383505E+04,3.020972E-01,1.775855E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.839339E+02,1.165094E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
02:00:00,3.252730E+00,6.331803E+04,4.761410E+00,5.085013E+04,1.248287E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.425471E+03,4.615366E-01,4.929043E+03,1.209999E+04,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.679084E+02,1.148638E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
03:00:00,3.252730E+00,6.421034E+04,4.517432E+00,4.700528E+04,1.171598E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.501929E+03,4.279135E-01,4.452573E+03,1.109796E+04,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.558893E+02,1.136296E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
04:00:00,3.252730E+00,6.510265E+04,4.319738E+00,4.376320E+04,1.108157E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.578388E+03,4.042689E-01,4.095641E+03,1.037085E+04,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.438702E+02,1.123954E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
05:00:00,3.252730E+00,6.569752E+04,4.146837E+00,4.125315E+04,1.056015E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.629360E+03,3.857775E-01,3.837753E+03,9.824037E+03,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.358575E+02,1.115726E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
06:00:00,3.252730E+00,6.510265E+04,4.232668E+00,4.288109E+04,1.085821E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.578388E+03,3.919805E-01,3.971148E+03,1.005561E+04,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,4.381314E-02,4.438702E+02,1.123954E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
07:00:00,3.252730E+00,6.302059E+04,5.230735E+00,5.634066E+04,1.376241E+05,3.252730E+00,1.912092E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,5.399985E+03,5.111146E-01,5.505255E+03,1.344776E+04,2.787135E-01,1.638396E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,5.527242E-02,5.953436E+02,1.454254E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
08:00:00,3.252730E+00,5.796417E+04,6.886062E+00,8.487481E+04,1.921690E+05,3.349362E+00,1.968897E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,4.966720E+03,6.729566E-01,8.294591E+03,1.878017E+04,3.033845E-01,1.783422E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,1.246262E-01,1.536092E+03,3.477936E+03,7.116012E-02,2.045068E+03,4.381314E-02,0.000000E+00,0.000000E+00
09:00:00,3.252730E+00,5.231287E+04,7.218781E+00,1.015177E+05,2.143332E+05,3.874133E+00,2.277379E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,4.482483E+03,7.699996E-01,1.082850E+04,2.286210E+04,4.451708E-01,2.616902E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,1.880488E-01,2.644529E+03,5.583366E+03,5.168161E-02,1.485275E+03,4.381314E-02,0.000000E+00,0.000000E+00
10:00:00,3.252730E+00,4.725645E+04,6.791738E+00,1.060701E+05,2.124955E+05,3.854233E+00,2.265681E+05,3.252730E+00,0.000000E+00,0.000000E+00,2.787135E-01,4.049218E+03,7.787289E-01,1.216181E+04,2.436436E+04,4.621624E-01,2.716786E+04,2.787135E-01,0.000000E+00,0.000000E+00,4.381314E-02,0.000000E+00,2.007710E-01,3.135544E+03,6.281594E+03,4.381314E-02,1.259144E+03,4.381314E-02,0.000000E+00,0.000000E+00
