Time,SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 1:Des Tot Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Heat Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Sens Cool Cap [W],SYS_1_MAKE-UP AIR UNIT:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_WILD_ST=CORRIDOR/TRANSITION AREA OTHER-SCH-G_FL=BUILDING STORY 10_SCH=G:DesPer 2:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],SYS_6_VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],SYS_6_VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
01:00:00,3.312662E+00,6.934465E+04,4.379396E+00,4.034537E+04,9.712103E+04,3.376860E+00,2.242949E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,5.941869E+03,4.107244E-01,3.783816E+03,9.108557E+03,3.057771E-01,2.031007E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,4.110674E+02,9.895381E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
02:00:00,3.312662E+00,7.052969E+04,3.972210E+00,3.517318E+04,8.663438E+04,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.043410E+03,3.739142E-01,3.310940E+03,8.155113E+03,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,3.951053E+02,9.731763E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
03:00:00,3.312662E+00,7.141847E+04,3.810460E+00,3.271858E+04,8.205868E+04,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.119566E+03,3.539228E-01,3.038964E+03,7.621766E+03,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,3.831338E+02,9.609051E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
04:00:00,3.312662E+00,7.230725E+04,3.696965E+00,3.075216E+04,7.859782E+04,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.195721E+03,3.382272E-01,2.813448E+03,7.190743E+03,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,3.711623E+02,9.486340E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
05:00:00,3.312662E+00,7.289977E+04,3.617147E+00,2.944125E+04,7.623768E+04,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.246492E+03,3.246634E-01,2.642551E+03,6.842847E+03,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,3.631813E+02,9.404526E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
06:00:00,3.312662E+00,7.230725E+04,4.036919E+00,3.357998E+04,8.582529E+04,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.195721E+03,3.704787E-01,3.081723E+03,7.876413E+03,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,4.462040E-02,3.711623E+02,9.486340E+02,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
07:00:00,3.312662E+00,7.023343E+04,4.875472E+00,4.360742E+04,1.067815E+05,3.312662E+00,2.200308E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,6.018024E+03,4.776831E-01,4.272515E+03,1.046211E+04,2.838488E-01,1.885357E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,8.007443E-02,7.162054E+02,1.753773E+03,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
08:00:00,3.312662E+00,6.519702E+04,5.908544E+00,6.183054E+04,1.386156E+05,3.404248E+00,2.261141E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,5.586475E+03,5.751672E-01,6.018893E+03,1.349353E+04,3.140242E-01,2.085785E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,1.018325E-01,1.065636E+03,2.389010E+03,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
09:00:00,3.312662E+00,5.956810E+04,5.964802E+00,7.255474E+04,1.503247E+05,3.891201E+00,2.584581E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,5.104154E+03,6.237017E-01,7.586591E+03,1.571851E+04,4.045499E-01,2.687067E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,1.532618E-01,1.864248E+03,3.862499E+03,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
10:00:00,3.312662E+00,5.453169E+04,5.341001E+00,7.308714E+04,1.429272E+05,3.638758E+00,2.416905E+05,3.312662E+00,0.000000E+00,0.000000E+00,2.838488E-01,4.672604E+03,6.022045E-01,8.240665E+03,1.611522E+04,3.704573E-01,2.460620E+04,2.838488E-01,0.000000E+00,0.000000E+00,4.462040E-02,0.000000E+00,1.532531E-01,2.097140E+03,4.101109E+03,4.462040E-02,1.623106E+03,4.462040E-02,0.000000E+00,0.000000E+00
