Time,SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.200892E+00,5.570542E+04,2.200892E+00,1.064215E+04,1.358855E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.189491E+03,2.445436E-01,1.182461E+03,1.509838E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.237898E+04,4.890872E-01,2.364922E+03,3.019677E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
02:00:00,2.200892E+00,5.659890E+04,2.200892E+00,9.748669E+03,1.268019E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.288767E+03,2.445436E-01,1.083185E+03,1.408910E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.257753E+04,4.890872E-01,2.166371E+03,2.817821E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
03:00:00,2.200892E+00,5.726901E+04,2.200892E+00,9.078559E+03,1.199895E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.363223E+03,2.445436E-01,1.008729E+03,1.333217E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.272645E+04,4.890872E-01,2.017458E+03,2.666434E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
04:00:00,2.200892E+00,5.793912E+04,2.200892E+00,8.408448E+03,1.131768E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.437680E+03,2.445436E-01,9.342721E+02,1.257520E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.287536E+04,4.890872E-01,1.868544E+03,2.515040E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
05:00:00,2.200892E+00,5.838586E+04,2.200892E+00,7.961708E+03,1.086352E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.487318E+03,2.445436E-01,8.846342E+02,1.207058E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.297464E+04,4.890872E-01,1.769268E+03,2.414116E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
06:00:00,2.200892E+00,5.793912E+04,2.200892E+00,8.408448E+03,1.131768E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.437680E+03,2.445436E-01,9.342721E+02,1.257520E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.287536E+04,4.890872E-01,1.868544E+03,2.515040E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
07:00:00,2.200892E+00,5.637553E+04,2.200892E+00,9.972040E+03,1.290727E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,6.263948E+03,2.445436E-01,1.108004E+03,1.434141E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.252790E+04,4.890872E-01,2.216009E+03,2.868282E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
08:00:00,2.200892E+00,5.257824E+04,2.200892E+00,1.376933E+04,1.676773E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,5.842026E+03,1.169996E+00,1.240092E+04,1.324637E+04,2.836302E-01,1.246719E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.168405E+04,4.890872E-01,3.059852E+03,3.726163E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
09:00:00,2.200892E+00,4.833420E+04,2.200892E+00,1.801336E+04,2.108231E+04,2.465569E+00,1.096282E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,5.370467E+03,1.403954E+00,1.489864E+04,1.566300E+04,4.008775E-01,1.490776E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,1.074093E+04,4.890872E-01,4.002970E+03,4.684958E+03,6.294266E-01,2.611313E+04,4.890872E-01,0.000000E+00,0.000000E+00
10:00:00,2.200892E+00,4.453691E+04,2.200892E+00,2.181066E+04,2.494277E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,4.948546E+03,1.165876E+00,1.260993E+04,1.315358E+04,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,9.897091E+03,5.222674E-01,5.213535E+03,5.940896E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
11:00:00,2.200892E+00,4.118636E+04,2.468850E+00,2.812272E+04,3.160607E+04,2.200892E+00,1.039445E+05,2.200892E+00,0.000000E+00,0.000000E+00,2.445436E-01,4.576262E+03,8.449416E-01,9.432673E+03,9.961775E+03,2.445436E-01,1.154939E+04,2.445436E-01,0.000000E+00,0.000000E+00,4.890872E-01,9.152524E+03,6.610155E-01,7.491594E+03,8.342631E+03,4.890872E-01,2.309878E+04,4.890872E-01,0.000000E+00,0.000000E+00
