Time,ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,9.117388E+03,0.000000E+00,3.576353E-01,0.000000E+00,1.954647E+03,0.000000E+00,7.667011E-02,0.000000E+00,3.270269E+03,0.000000E+00,1.282760E-01,0.000000E+00
02:00:00,1.132814E+04,0.000000E+00,4.443297E-01,0.000000E+00,2.354929E+03,0.000000E+00,9.236318E-02,0.000000E+00,3.795379E+03,0.000000E+00,1.488625E-01,0.000000E+00
03:00:00,1.221965E+04,0.000000E+00,4.792920E-01,0.000000E+00,2.476610E+03,0.000000E+00,9.713450E-02,0.000000E+00,3.936805E+03,0.000000E+00,1.544078E-01,0.000000E+00
04:00:00,1.280164E+04,0.000000E+00,5.021157E-01,0.000000E+00,2.521707E+03,0.000000E+00,9.890302E-02,0.000000E+00,3.979728E+03,0.000000E+00,1.560907E-01,0.000000E+00
05:00:00,1.303191E+04,0.000000E+00,5.111441E-01,0.000000E+00,2.540428E+03,0.000000E+00,9.963736E-02,0.000000E+00,3.998427E+03,0.000000E+00,1.568238E-01,0.000000E+00
06:00:00,1.315374E+04,0.000000E+00,5.159208E-01,0.000000E+00,2.549479E+03,0.000000E+00,9.999250E-02,0.000000E+00,4.007302E+03,0.000000E+00,1.571717E-01,0.000000E+00
07:00:00,1.321833E+04,0.000000E+00,5.184532E-01,0.000000E+00,2.554001E+03,0.000000E+00,1.001700E-01,0.000000E+00,4.011864E+03,0.000000E+00,1.573506E-01,0.000000E+00
08:00:00,3.289297E+04,0.000000E+00,1.353781E+00,0.000000E+00,5.269693E+03,1.315738E+04,2.181771E-01,1.063633E+00,8.643139E+03,0.000000E+00,3.567092E-01,0.000000E+00
09:00:00,4.201754E+04,5.877842E+03,1.896592E+00,5.327203E-01,6.796243E+03,1.442447E+04,3.083673E-01,1.276322E+00,1.070515E+04,1.684605E+03,4.841743E-01,1.523783E-01
10:00:00,1.436786E+04,1.973671E+04,6.709161E-01,1.758124E+00,3.301040E+03,1.190248E+04,1.541423E-01,1.059887E+00,4.312501E+03,5.329994E+03,2.013738E-01,4.747885E-01
