Time,SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C:DesPer 2:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 1:DesPer 2:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=SALES AREA_FL=BUILDING STORY 1_SCH=C 2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.196588E+00,4.499942E+04,2.196588E+00,2.121840E+04,4.972012E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,4.999936E+03,2.440654E-01,2.357600E+03,5.524458E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,9.999872E+03,4.881308E-01,4.715199E+03,1.104892E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
00:20:00,2.196588E+00,4.519587E+04,2.196588E+00,2.102195E+04,4.951875E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.021763E+03,2.440654E-01,2.335772E+03,5.502083E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.004353E+04,4.881308E-01,4.671545E+03,1.100417E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
00:30:00,2.196588E+00,4.539232E+04,2.196588E+00,2.082550E+04,4.931741E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.043591E+03,2.440654E-01,2.313945E+03,5.479712E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.008718E+04,4.881308E-01,4.627890E+03,1.095942E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
00:40:00,2.196588E+00,4.558876E+04,2.196588E+00,2.062906E+04,4.911603E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.065418E+03,2.440654E-01,2.292118E+03,5.457337E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.013084E+04,4.881308E-01,4.584235E+03,1.091467E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
00:50:00,2.196588E+00,4.578521E+04,2.196588E+00,2.043261E+04,4.891466E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.087245E+03,2.440654E-01,2.270290E+03,5.434962E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.017449E+04,4.881308E-01,4.540581E+03,1.086992E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
01:00:00,2.196588E+00,4.598166E+04,2.196588E+00,2.023617E+04,4.871332E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.109073E+03,2.440654E-01,2.248463E+03,5.412591E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.021815E+04,4.881308E-01,4.496926E+03,1.082518E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
01:10:00,2.196588E+00,4.611262E+04,2.196588E+00,2.010520E+04,4.857905E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.123624E+03,2.440654E-01,2.233911E+03,5.397673E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.024725E+04,4.881308E-01,4.467823E+03,1.079535E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
01:20:00,2.196588E+00,4.624358E+04,2.196588E+00,1.997424E+04,4.844483E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.138176E+03,2.440654E-01,2.219360E+03,5.382759E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.027635E+04,4.881308E-01,4.438720E+03,1.076552E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
01:30:00,2.196588E+00,4.637455E+04,2.196588E+00,1.984327E+04,4.831057E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.152727E+03,2.440654E-01,2.204808E+03,5.367841E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.030545E+04,4.881308E-01,4.409616E+03,1.073568E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
01:40:00,2.196588E+00,4.650551E+04,2.196588E+00,1.971231E+04,4.817634E+04,2.196588E+00,1.458999E+05,2.196588E+00,0.000000E+00,0.000000E+00,2.440654E-01,5.167279E+03,2.440654E-01,2.190257E+03,5.352927E+03,2.440654E-01,1.621110E+04,2.440654E-01,0.000000E+00,0.000000E+00,4.881308E-01,1.033456E+04,4.881308E-01,4.380513E+03,1.070585E+04,4.881308E-01,3.242221E+04,4.881308E-01,0.000000E+00,0.000000E+00
