Time,SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W]
01:00:00,1.200060E-01,3.037398E+03,1.200060E-01,5.802747E+02,7.409302E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.970666E+04,1.173695E+00,5.675260E+03,7.246518E+03,1.173695E+00,5.543167E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.291594E+04,5.103021E-01,2.467504E+03,3.150660E+03,5.179571E-01,2.429305E+04,5.103021E-01,0.000000E+00,0.000000E+00
02:00:00,1.200060E-01,3.086116E+03,1.200060E-01,5.315567E+02,6.914012E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.018314E+04,1.173695E+00,5.198783E+03,6.762110E+03,1.298975E+00,5.856848E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.312310E+04,5.103021E-01,2.260341E+03,2.940048E+03,5.748716E-01,2.572304E+04,5.103021E-01,0.000000E+00,0.000000E+00
03:00:00,1.200060E-01,3.122655E+03,1.200060E-01,4.950183E+02,6.542559E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.054049E+04,1.173695E+00,4.841426E+03,6.398817E+03,1.375419E+00,6.049941E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.327848E+04,5.103021E-01,2.104968E+03,2.782094E+03,6.004138E-01,2.636482E+04,5.103021E-01,0.000000E+00,0.000000E+00
04:00:00,1.200060E-01,3.159193E+03,1.200060E-01,4.584798E+02,6.171088E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.089785E+04,1.173695E+00,4.484068E+03,6.035508E+03,1.439841E+00,6.211796E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.343385E+04,5.103021E-01,1.949595E+03,2.624134E+03,6.131485E-01,2.668479E+04,5.103021E-01,0.000000E+00,0.000000E+00
05:00:00,1.200060E-01,3.183552E+03,1.200060E-01,4.341208E+02,5.923452E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.113609E+04,1.173695E+00,4.245830E+03,5.793312E+03,1.477578E+00,6.306625E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.353743E+04,5.103021E-01,1.846013E+03,2.518831E+03,6.223982E-01,2.691730E+04,5.103021E-01,0.000000E+00,0.000000E+00
06:00:00,1.200060E-01,3.159193E+03,1.200060E-01,4.584798E+02,6.171088E+02,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.089785E+04,1.173695E+00,4.484068E+03,6.035508E+03,1.479126E+00,6.310517E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.343385E+04,5.103021E-01,1.949595E+03,2.624134E+03,6.298656E-01,2.710494E+04,5.103021E-01,0.000000E+00,0.000000E+00
07:00:00,1.200060E-01,3.073937E+03,1.200060E-01,5.437362E+02,7.037829E+02,1.352128E-01,6.031735E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,3.006402E+04,1.533357E+00,9.030629E+03,1.080270E+04,4.311091E+00,1.304686E+05,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.307131E+04,1.064043E+00,8.382915E+03,9.566613E+03,1.399043E+00,4.492491E+04,5.103021E-01,0.000000E+00,0.000000E+00
08:00:00,1.200060E-01,2.866885E+03,1.200060E-01,7.507877E+02,9.142787E+02,2.954053E-01,9.430668E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.803899E+04,5.355835E+00,5.262437E+04,5.661072E+04,5.871066E+00,1.571553E+05,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.219087E+04,2.574770E+00,2.600743E+04,2.821810E+04,2.162182E+00,5.959756E+04,5.103021E-01,0.000000E+00,0.000000E+00
09:00:00,1.200060E-01,2.635475E+03,2.580279E-01,2.507774E+03,2.785178E+03,1.605585E-01,6.523447E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.577573E+04,7.505383E+00,7.957718E+04,8.445233E+04,1.532495E+00,6.300341E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.120684E+04,3.324453E+00,3.527994E+04,3.711227E+04,1.129627E+00,3.717123E+04,5.103021E-01,0.000000E+00,0.000000E+00
10:00:00,1.200060E-01,2.428423E+03,3.185579E-01,3.383796E+03,3.797362E+03,1.431678E-01,6.156463E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.375070E+04,7.286923E+00,7.919848E+04,8.385243E+04,2.649822E+00,8.658266E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.032639E+04,3.491824E+00,3.801111E+04,4.028511E+04,9.302953E-01,3.296444E+04,5.103021E-01,0.000000E+00,0.000000E+00
11:00:00,1.200060E-01,2.245731E+03,3.626520E-01,4.053694E+03,4.656942E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.196392E+04,6.031027E+00,6.710583E+04,7.106620E+04,2.066146E+00,7.426609E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,9.549529E+03,3.074555E+00,3.417555E+04,3.655072E+04,8.234418E-01,3.070930E+04,5.103021E-01,0.000000E+00,0.000000E+00
12:00:00,1.200060E-01,2.123936E+03,4.069536E-01,4.664853E+03,5.429574E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.077272E+04,4.742417E+00,5.405457E+04,5.747219E+04,2.048561E+00,7.389457E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,9.031619E+03,2.696470E+00,3.051424E+04,3.285554E+04,7.940430E-01,3.008877E+04,5.103021E-01,0.000000E+00,0.000000E+00
13:00:00,1.200060E-01,2.026500E+03,4.096861E-01,4.792287E+03,5.558285E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,1.981977E+04,4.302019E+00,5.013998E+04,5.347441E+04,2.094211E+00,7.485791E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,8.617292E+03,2.537383E+00,2.917004E+04,3.153304E+04,8.257064E-01,3.075700E+04,5.103021E-01,0.000000E+00,0.000000E+00
14:00:00,1.200060E-01,1.965602E+03,4.214383E-01,4.983037E+03,5.655760E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,1.922418E+04,4.577149E+00,5.377662E+04,5.730550E+04,2.095170E+00,7.487819E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,8.358337E+03,2.579696E+00,2.989645E+04,3.206143E+04,8.203947E-01,3.064496E+04,5.103021E-01,0.000000E+00,0.000000E+00
15:00:00,1.200060E-01,1.965602E+03,4.910920E-01,5.752920E+03,6.405056E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,1.922418E+04,6.147723E+00,7.113625E+04,7.544725E+04,2.040125E+00,7.371654E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,8.358337E+03,3.038289E+00,3.496527E+04,3.719632E+04,7.687365E-01,2.955483E+04,5.103021E-01,0.000000E+00,0.000000E+00
16:00:00,1.200060E-01,2.038679E+03,5.535362E-01,6.370055E+03,7.118752E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,1.993889E+04,7.698995E+00,8.756736E+04,9.264237E+04,2.034935E+00,7.360700E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,8.669083E+03,3.484598E+00,3.958752E+04,4.232612E+04,7.599777E-01,2.937002E+04,5.103021E-01,0.000000E+00,0.000000E+00
17:00:00,1.200060E-01,2.136115E+03,5.931635E-01,6.710473E+03,7.557379E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.089184E+04,8.142229E+00,9.151291E+04,9.669705E+04,2.033656E+00,7.357999E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,9.083410E+03,3.615672E+00,4.062117E+04,4.353108E+04,7.545711E-01,2.925591E+04,5.103021E-01,0.000000E+00,0.000000E+00
18:00:00,1.200060E-01,2.257910E+03,5.845467E-01,6.493312E+03,7.323505E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.208303E+04,7.583840E+00,8.414982E+04,8.890259E+04,2.087944E+00,7.472568E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,9.601319E+03,3.343544E+00,3.709528E+04,3.973528E+04,7.956755E-01,3.012334E+04,5.103021E-01,0.000000E+00,0.000000E+00
19:00:00,1.200060E-01,2.440603E+03,4.821735E-01,5.179313E+03,5.804407E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.386982E+04,5.861395E+00,6.332520E+04,6.711079E+04,2.270360E+00,7.857534E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.037818E+04,2.530958E+00,2.733787E+04,2.929915E+04,9.292963E-01,3.294332E+04,5.103021E-01,0.000000E+00,0.000000E+00
20:00:00,1.200060E-01,2.574577E+03,3.399252E-01,3.473512E+03,3.850272E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.518013E+04,3.009084E+00,3.048855E+04,3.290425E+04,2.401936E+00,8.135225E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.094788E+04,1.336368E+00,1.356566E+04,1.469608E+04,1.028263E+00,3.503213E+04,5.103021E-01,0.000000E+00,0.000000E+00
21:00:00,1.200060E-01,2.684193E+03,2.289631E-01,2.137708E+03,2.376059E+03,1.200060E-01,5.667688E+03,1.200060E-01,0.000000E+00,0.000000E+00,1.173695E+00,2.625220E+04,1.173695E+00,9.129714E+03,1.075841E+04,2.422563E+00,8.178768E+04,1.173695E+00,0.000000E+00,0.000000E+00,5.103021E-01,1.141400E+04,5.103021E-01,3.969441E+03,4.677572E+03,1.044852E+00,3.538254E+04,5.103021E-01,0.000000E+00,0.000000E+00
