Time,SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W]
01:00:00,1.173792E-01,2.895896E+03,1.173792E-01,6.425889E+02,4.392327E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.832273E+04,1.148004E+00,6.284711E+03,4.295826E+03,1.922853E+00,1.157369E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.231423E+04,4.991320E-01,2.732483E+03,1.867751E+03,8.475515E-01,5.063320E+04,4.991320E-01,0.000000E+00,0.000000E+00
02:00:00,1.173792E-01,2.933168E+03,1.173792E-01,6.053168E+02,4.014235E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.868726E+04,1.148004E+00,5.920179E+03,3.926041E+03,2.111626E+00,1.205317E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.247272E+04,4.991320E-01,2.573991E+03,1.706974E+03,8.884423E-01,5.166072E+04,4.991320E-01,0.000000E+00,0.000000E+00
03:00:00,1.173792E-01,2.961122E+03,1.173792E-01,5.773628E+02,3.730675E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.896066E+04,1.148004E+00,5.646780E+03,3.648711E+03,2.192161E+00,1.225553E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.259159E+04,4.991320E-01,2.455122E+03,1.586396E+03,9.084429E-01,5.216326E+04,4.991320E-01,0.000000E+00,0.000000E+00
04:00:00,1.173792E-01,2.989076E+03,1.173792E-01,5.494088E+02,3.447116E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.923406E+04,1.148004E+00,5.373381E+03,3.371382E+03,2.216564E+00,1.231684E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.271046E+04,4.991320E-01,2.336253E+03,1.465818E+03,9.208998E-01,5.247621E+04,4.991320E-01,0.000000E+00,0.000000E+00
05:00:00,1.173792E-01,3.007712E+03,1.173792E-01,5.307728E+02,3.258089E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.941632E+04,1.148004E+00,5.191116E+03,3.186508E+03,2.219277E+00,1.232369E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.278971E+04,4.991320E-01,2.257007E+03,1.385438E+03,9.303814E-01,5.271457E+04,4.991320E-01,0.000000E+00,0.000000E+00
06:00:00,1.173792E-01,2.989076E+03,1.173792E-01,5.494088E+02,3.447116E+02,1.173792E-01,9.848783E+03,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.923406E+04,1.148004E+00,5.373381E+03,3.371382E+03,2.220217E+00,1.232606E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.271046E+04,4.991320E-01,2.336253E+03,1.465818E+03,9.381845E-01,5.291062E+04,4.991320E-01,0.000000E+00,0.000000E+00
07:00:00,1.173792E-01,2.923850E+03,1.173792E-01,6.146349E+02,4.108768E+02,1.473726E-01,1.056743E+04,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.859613E+04,1.148004E+00,6.011312E+03,4.018497E+03,5.261139E+00,1.948875E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.243310E+04,4.991320E-01,2.613614E+03,1.747173E+03,1.835999E+00,7.320596E+04,4.991320E-01,0.000000E+00,0.000000E+00
08:00:00,1.173792E-01,2.765444E+03,1.173792E-01,7.730410E+02,5.715591E+02,3.474096E-01,1.478525E+04,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.704687E+04,2.118099E+00,1.828279E+04,1.641423E+04,6.747169E+00,2.177921E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.175951E+04,1.011428E+00,8.949947E+03,7.862699E+03,2.556535E+00,8.609623E+04,4.991320E-01,0.000000E+00,0.000000E+00
09:00:00,1.173792E-01,2.588402E+03,2.165949E-01,2.046731E+03,1.926016E+03,2.019408E-01,1.163317E+04,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.531534E+04,3.230002E+00,3.230533E+04,3.058584E+04,2.092295E+00,1.162508E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.100667E+04,1.509223E+00,1.520560E+04,1.414106E+04,1.404609E+00,6.098822E+04,4.991320E-01,0.000000E+00,0.000000E+00
10:00:00,1.173792E-01,2.429996E+03,2.511088E-01,2.586582E+03,2.555059E+03,1.782742E-01,1.113376E+04,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.376608E+04,3.348708E+00,3.516681E+04,3.358486E+04,3.191588E+00,1.394488E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,1.033308E+04,1.777107E+00,1.884037E+04,1.846837E+04,1.187414E+00,5.640477E+04,4.991320E-01,0.000000E+00,0.000000E+00
11:00:00,1.173792E-01,2.290225E+03,2.940438E-01,3.200809E+03,3.341645E+03,1.395443E-01,1.031649E+04,1.173792E-01,0.000000E+00,0.000000E+00,1.148004E+00,2.239909E+04,3.256545E+00,3.551503E+04,3.411965E+04,2.634412E+00,1.276914E+05,1.148004E+00,0.000000E+00,0.000000E+00,4.991320E-01,9.738733E+03,1.863402E+00,2.038765E+04,2.066764E+04,1.082690E+00,5.419461E+04,4.991320E-01,0.000000E+00,0.000000E+00
