Time,ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:YELLOWKNIFE AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.765770E+04,0.000000E+00,1.479118E+00,0.000000E+00,1.662106E+04,0.000000E+00,6.519627E-01,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.140876E+04,0.000000E+00,1.624327E+00,0.000000E+00,1.742338E+04,0.000000E+00,6.834172E-01,0.000000E+00
03:00:00,1.535359E+02,0.000000E+00,6.035821E-03,0.000000E+00,4.298875E+04,0.000000E+00,1.686278E+00,0.000000E+00,1.781572E+04,0.000000E+00,6.988022E-01,0.000000E+00
04:00:00,4.468478E+02,0.000000E+00,1.752856E-02,0.000000E+00,4.346737E+04,0.000000E+00,1.705050E+00,0.000000E+00,1.806001E+04,0.000000E+00,7.083844E-01,0.000000E+00
05:00:00,4.321505E+02,0.000000E+00,1.695222E-02,0.000000E+00,4.352113E+04,0.000000E+00,1.707136E+00,0.000000E+00,1.824622E+04,0.000000E+00,7.156780E-01,0.000000E+00
06:00:00,5.810323E+02,0.000000E+00,2.279246E-02,0.000000E+00,4.353964E+04,0.000000E+00,1.707859E+00,0.000000E+00,1.839925E+04,0.000000E+00,7.216804E-01,0.000000E+00
07:00:00,2.777495E+03,8.388951E+02,1.133635E-01,6.973786E-02,9.910325E+04,4.063758E+03,4.047030E+00,3.634252E-01,3.379971E+04,4.235502E+03,1.412307E+00,3.762982E-01
08:00:00,5.905717E+03,6.658028E+02,2.672381E-01,5.931523E-02,1.160684E+05,2.161684E+04,5.190130E+00,1.925544E+00,4.312523E+04,1.032324E+04,1.966565E+00,9.194802E-01
09:00:00,3.326356E+03,2.210603E+03,1.553391E-01,1.969044E-01,3.446538E+04,3.296670E+04,1.609457E+00,2.936365E+00,2.313807E+04,1.540454E+04,1.080468E+00,1.372021E+00
10:00:00,2.936504E+03,2.562781E+03,1.371340E-01,2.282807E-01,5.257391E+04,3.417842E+04,2.455068E+00,3.044280E+00,1.956022E+04,1.813880E+04,9.133951E-01,1.615552E+00
11:00:00,2.298510E+03,3.000819E+03,1.073418E-01,2.673125E-01,4.339631E+04,3.323769E+04,2.026471E+00,2.960496E+00,1.783484E+04,1.901837E+04,8.328386E-01,1.694002E+00
12:00:00,1.990383E+03,3.403660E+03,9.295366E-02,3.032233E-01,4.304248E+04,2.893761E+04,2.009964E+00,2.577500E+00,1.733655E+04,1.870194E+04,8.095882E-01,1.665927E+00
