Time,ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:WINDSOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.883702E+02,0.000000E+00,1.132476E-02,0.000000E+00,4.666228E+04,0.000000E+00,1.830314E+00,0.000000E+00,2.001247E+04,0.000000E+00,7.848618E-01,0.000000E+00
00:30:00,4.096935E+02,0.000000E+00,1.608385E-02,0.000000E+00,4.754084E+04,0.000000E+00,1.864775E+00,0.000000E+00,2.024538E+04,0.000000E+00,7.939948E-01,0.000000E+00
00:45:00,4.477021E+02,0.000000E+00,1.756184E-02,0.000000E+00,4.780180E+04,0.000000E+00,1.875009E+00,0.000000E+00,2.042707E+04,0.000000E+00,8.011204E-01,0.000000E+00
01:00:00,5.019339E+02,0.000000E+00,1.968908E-02,0.000000E+00,4.797104E+04,0.000000E+00,1.881646E+00,0.000000E+00,2.056995E+04,0.000000E+00,8.067242E-01,0.000000E+00
01:15:00,5.633276E+02,0.000000E+00,2.209730E-02,0.000000E+00,4.808744E+04,0.000000E+00,1.886211E+00,0.000000E+00,2.068425E+04,0.000000E+00,8.112073E-01,0.000000E+00
01:30:00,6.123315E+02,0.000000E+00,2.401949E-02,0.000000E+00,4.816761E+04,0.000000E+00,1.889355E+00,0.000000E+00,2.077741E+04,0.000000E+00,8.148614E-01,0.000000E+00
01:45:00,6.579274E+02,0.000000E+00,2.580800E-02,0.000000E+00,4.822374E+04,0.000000E+00,1.891556E+00,0.000000E+00,2.085502E+04,0.000000E+00,8.179058E-01,0.000000E+00
02:00:00,7.008542E+02,0.000000E+00,2.749181E-02,0.000000E+00,4.826390E+04,0.000000E+00,1.893131E+00,0.000000E+00,2.092123E+04,0.000000E+00,8.205030E-01,0.000000E+00
02:15:00,7.413307E+02,0.000000E+00,2.907950E-02,0.000000E+00,4.829399E+04,0.000000E+00,1.894311E+00,0.000000E+00,2.097983E+04,0.000000E+00,8.228018E-01,0.000000E+00
02:30:00,7.796119E+02,0.000000E+00,3.058106E-02,0.000000E+00,4.831701E+04,0.000000E+00,1.895213E+00,0.000000E+00,2.103255E+04,0.000000E+00,8.248698E-01,0.000000E+00
02:45:00,8.158776E+02,0.000000E+00,3.200356E-02,0.000000E+00,4.833496E+04,0.000000E+00,1.895917E+00,0.000000E+00,2.108062E+04,0.000000E+00,8.267555E-01,0.000000E+00
03:00:00,8.502512E+02,0.000000E+00,3.335183E-02,0.000000E+00,4.834933E+04,0.000000E+00,1.896480E+00,0.000000E+00,2.112510E+04,0.000000E+00,8.285002E-01,0.000000E+00
03:15:00,8.827914E+02,0.000000E+00,3.462819E-02,0.000000E+00,4.836114E+04,0.000000E+00,1.896943E+00,0.000000E+00,2.116675E+04,0.000000E+00,8.301341E-01,0.000000E+00
03:30:00,9.134597E+02,0.000000E+00,3.583111E-02,0.000000E+00,4.837107E+04,0.000000E+00,1.897332E+00,0.000000E+00,2.120614E+04,0.000000E+00,8.316790E-01,0.000000E+00
03:45:00,9.417447E+02,0.000000E+00,3.694054E-02,0.000000E+00,4.837961E+04,0.000000E+00,1.897667E+00,0.000000E+00,2.124367E+04,0.000000E+00,8.331513E-01,0.000000E+00
04:00:00,9.682181E+02,0.000000E+00,3.797890E-02,0.000000E+00,4.838709E+04,0.000000E+00,1.897960E+00,0.000000E+00,2.127966E+04,0.000000E+00,8.345629E-01,0.000000E+00
04:15:00,9.932739E+02,0.000000E+00,3.896166E-02,0.000000E+00,4.839375E+04,0.000000E+00,1.898221E+00,0.000000E+00,2.131434E+04,0.000000E+00,8.359230E-01,0.000000E+00
04:30:00,1.017294E+03,0.000000E+00,3.990381E-02,0.000000E+00,4.839975E+04,0.000000E+00,1.898456E+00,0.000000E+00,2.134786E+04,0.000000E+00,8.372380E-01,0.000000E+00
04:45:00,1.041084E+03,0.000000E+00,4.083691E-02,0.000000E+00,4.840522E+04,0.000000E+00,1.898671E+00,0.000000E+00,2.138036E+04,0.000000E+00,8.385125E-01,0.000000E+00
05:00:00,1.064347E+03,0.000000E+00,4.174937E-02,0.000000E+00,4.841025E+04,0.000000E+00,1.898868E+00,0.000000E+00,2.141190E+04,0.000000E+00,8.397495E-01,0.000000E+00
05:15:00,1.086972E+03,0.000000E+00,4.263678E-02,0.000000E+00,4.841492E+04,0.000000E+00,1.899050E+00,0.000000E+00,2.144254E+04,0.000000E+00,8.409515E-01,0.000000E+00
