Time,SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 1:Des Tot Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Heat Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Cool Mass Flow [kg/s],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Sens Cool Cap [W],SYS_4_PSZ_ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.197714E-01,2.453642E+03,1.197714E-01,1.156956E+03,2.711044E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.399735E+04,1.171400E+00,1.131537E+04,2.651481E+04,2.504000E+00,1.112837E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.043363E+04,5.093042E-01,4.919728E+03,1.152818E+04,1.069594E+00,4.790604E+04,5.093042E-01,0.000000E+00,0.000000E+00
00:20:00,1.197714E-01,2.464354E+03,1.197714E-01,1.146245E+03,2.700063E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.410211E+04,1.171400E+00,1.121061E+04,2.640742E+04,2.523396E+00,1.117710E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.047918E+04,5.093042E-01,4.874180E+03,1.148149E+04,1.078688E+00,4.813455E+04,5.093042E-01,0.000000E+00,0.000000E+00
00:30:00,1.197714E-01,2.475065E+03,1.197714E-01,1.135533E+03,2.689085E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.420687E+04,1.171400E+00,1.110585E+04,2.630005E+04,2.537065E+00,1.121144E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.052473E+04,5.093042E-01,4.828632E+03,1.143480E+04,1.086314E+00,4.832615E+04,5.093042E-01,0.000000E+00,0.000000E+00
00:40:00,1.197714E-01,2.485777E+03,1.197714E-01,1.124822E+03,2.678105E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.431164E+04,1.171400E+00,1.100109E+04,2.619266E+04,2.547581E+00,1.123786E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.057028E+04,5.093042E-01,4.783083E+03,1.138811E+04,1.092749E+00,4.848784E+04,5.093042E-01,0.000000E+00,0.000000E+00
00:50:00,1.197714E-01,2.496488E+03,1.197714E-01,1.114110E+03,2.667125E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.441640E+04,1.171400E+00,1.089633E+04,2.608527E+04,2.555499E+00,1.125776E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.061582E+04,5.093042E-01,4.737535E+03,1.134142E+04,1.098194E+00,4.862466E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:00:00,1.197714E-01,2.507200E+03,1.197714E-01,1.103399E+03,2.656147E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.452116E+04,1.171400E+00,1.079157E+04,2.597791E+04,2.561485E+00,1.127280E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.066137E+04,5.093042E-01,4.691987E+03,1.129474E+04,1.102828E+00,4.874107E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:10:00,1.197714E-01,2.514340E+03,1.197714E-01,1.096258E+03,2.648826E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.459100E+04,1.171400E+00,1.072173E+04,2.590630E+04,2.566115E+00,1.128443E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.069174E+04,5.093042E-01,4.661621E+03,1.126361E+04,1.106842E+00,4.884193E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:20:00,1.197714E-01,2.521481E+03,1.197714E-01,1.089117E+03,2.641507E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.466084E+04,1.171400E+00,1.065189E+04,2.583472E+04,2.569699E+00,1.129343E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.072210E+04,5.093042E-01,4.631256E+03,1.123249E+04,1.110339E+00,4.892979E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:30:00,1.197714E-01,2.528622E+03,1.197714E-01,1.081976E+03,2.634186E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.473068E+04,1.171400E+00,1.058205E+04,2.576312E+04,2.572481E+00,1.130042E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.075247E+04,5.093042E-01,4.600890E+03,1.120136E+04,1.113407E+00,4.900688E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:40:00,1.197714E-01,2.535763E+03,1.197714E-01,1.074835E+03,2.626867E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.480052E+04,1.171400E+00,1.051221E+04,2.569154E+04,2.574657E+00,1.130589E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.078283E+04,5.093042E-01,4.570525E+03,1.117024E+04,1.116127E+00,4.907522E+04,5.093042E-01,0.000000E+00,0.000000E+00
01:50:00,1.197714E-01,2.542904E+03,1.197714E-01,1.067694E+03,2.619546E+03,1.197714E-01,7.955352E+03,1.197714E-01,0.000000E+00,0.000000E+00,1.171400E+00,2.487036E+04,1.171400E+00,1.044237E+04,2.561994E+04,2.576378E+00,1.131021E+05,1.171400E+00,0.000000E+00,0.000000E+00,5.093042E-01,1.081320E+04,5.093042E-01,4.540159E+03,1.113911E+04,1.118565E+00,4.913646E+04,5.093042E-01,0.000000E+00,0.000000E+00
