Time,ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:MONTREAL-TRUDEAU INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.561927E+02,0.000000E+00,1.397405E-02,0.000000E+00,4.910470E+04,0.000000E+00,1.926154E+00,0.000000E+00,2.097780E+04,0.000000E+00,8.227645E-01,0.000000E+00
00:20:00,4.446329E+02,0.000000E+00,1.744326E-02,0.000000E+00,4.948514E+04,0.000000E+00,1.941074E+00,0.000000E+00,2.115618E+04,0.000000E+00,8.297601E-01,0.000000E+00
00:30:00,4.559530E+02,0.000000E+00,1.788548E-02,0.000000E+00,4.975320E+04,0.000000E+00,1.951588E+00,0.000000E+00,2.130576E+04,0.000000E+00,8.356259E-01,0.000000E+00
00:40:00,5.080509E+02,0.000000E+00,1.992909E-02,0.000000E+00,4.995944E+04,0.000000E+00,1.959677E+00,0.000000E+00,2.143198E+04,0.000000E+00,8.405761E-01,0.000000E+00
00:50:00,5.470557E+02,0.000000E+00,2.145910E-02,0.000000E+00,5.011474E+04,0.000000E+00,1.965768E+00,0.000000E+00,2.153878E+04,0.000000E+00,8.447648E-01,0.000000E+00
01:00:00,5.827979E+02,0.000000E+00,2.286112E-02,0.000000E+00,5.023214E+04,0.000000E+00,1.970373E+00,0.000000E+00,2.162965E+04,0.000000E+00,8.483289E-01,0.000000E+00
01:10:00,6.172638E+02,0.000000E+00,2.421308E-02,0.000000E+00,5.032295E+04,0.000000E+00,1.973935E+00,0.000000E+00,2.170837E+04,0.000000E+00,8.514166E-01,0.000000E+00
01:20:00,6.501279E+02,0.000000E+00,2.550220E-02,0.000000E+00,5.039325E+04,0.000000E+00,1.976692E+00,0.000000E+00,2.177695E+04,0.000000E+00,8.541066E-01,0.000000E+00
01:30:00,6.815245E+02,0.000000E+00,2.673376E-02,0.000000E+00,5.044780E+04,0.000000E+00,1.978831E+00,0.000000E+00,2.183713E+04,0.000000E+00,8.564668E-01,0.000000E+00
01:40:00,7.115791E+02,0.000000E+00,2.791267E-02,0.000000E+00,5.049049E+04,0.000000E+00,1.980506E+00,0.000000E+00,2.189047E+04,0.000000E+00,8.585593E-01,0.000000E+00
01:50:00,7.404069E+02,0.000000E+00,2.904345E-02,0.000000E+00,5.052424E+04,0.000000E+00,1.981829E+00,0.000000E+00,2.193828E+04,0.000000E+00,8.604345E-01,0.000000E+00
02:00:00,7.681083E+02,0.000000E+00,3.013006E-02,0.000000E+00,5.055122E+04,0.000000E+00,1.982887E+00,0.000000E+00,2.198158E+04,0.000000E+00,8.621330E-01,0.000000E+00
02:10:00,7.947690E+02,0.000000E+00,3.117583E-02,0.000000E+00,5.057302E+04,0.000000E+00,1.983742E+00,0.000000E+00,2.202121E+04,0.000000E+00,8.636874E-01,0.000000E+00
02:20:00,8.204596E+02,0.000000E+00,3.218355E-02,0.000000E+00,5.059088E+04,0.000000E+00,1.984442E+00,0.000000E+00,2.205783E+04,0.000000E+00,8.651239E-01,0.000000E+00
02:30:00,8.452371E+02,0.000000E+00,3.315545E-02,0.000000E+00,5.060569E+04,0.000000E+00,1.985023E+00,0.000000E+00,2.209198E+04,0.000000E+00,8.664634E-01,0.000000E+00
02:40:00,8.691457E+02,0.000000E+00,3.409327E-02,0.000000E+00,5.061814E+04,0.000000E+00,1.985511E+00,0.000000E+00,2.212407E+04,0.000000E+00,8.677225E-01,0.000000E+00
02:50:00,8.922172E+02,0.000000E+00,3.499824E-02,0.000000E+00,5.062874E+04,0.000000E+00,1.985927E+00,0.000000E+00,2.215446E+04,0.000000E+00,8.689145E-01,0.000000E+00
03:00:00,9.144699E+02,0.000000E+00,3.587110E-02,0.000000E+00,5.063789E+04,0.000000E+00,1.986286E+00,0.000000E+00,2.218342E+04,0.000000E+00,8.700502E-01,0.000000E+00
03:10:00,9.359056E+02,0.000000E+00,3.671191E-02,0.000000E+00,5.064589E+04,0.000000E+00,1.986599E+00,0.000000E+00,2.221115E+04,0.000000E+00,8.711381E-01,0.000000E+00
03:20:00,9.564982E+02,0.000000E+00,3.751965E-02,0.000000E+00,5.065297E+04,0.000000E+00,1.986877E+00,0.000000E+00,2.223784E+04,0.000000E+00,8.721849E-01,0.000000E+00
03:30:00,9.761322E+02,0.000000E+00,3.828978E-02,0.000000E+00,5.065929E+04,0.000000E+00,1.987125E+00,0.000000E+00,2.226362E+04,0.000000E+00,8.731963E-01,0.000000E+00
03:40:00,9.947300E+02,0.000000E+00,3.901927E-02,0.000000E+00,5.066501E+04,0.000000E+00,1.987349E+00,0.000000E+00,2.228862E+04,0.000000E+00,8.741766E-01,0.000000E+00
03:50:00,1.012561E+03,0.000000E+00,3.971868E-02,0.000000E+00,5.067022E+04,0.000000E+00,1.987553E+00,0.000000E+00,2.231291E+04,0.000000E+00,8.751295E-01,0.000000E+00
04:00:00,1.029721E+03,0.000000E+00,4.039175E-02,0.000000E+00,5.067501E+04,0.000000E+00,1.987741E+00,0.000000E+00,2.233658E+04,0.000000E+00,8.760581E-01,0.000000E+00
04:10:00,1.046286E+03,0.000000E+00,4.104151E-02,0.000000E+00,5.067939E+04,0.000000E+00,1.987913E+00,0.000000E+00,2.235944E+04,0.000000E+00,8.769544E-01,0.000000E+00
04:20:00,1.062381E+03,0.000000E+00,4.167282E-02,0.000000E+00,5.068344E+04,0.000000E+00,1.988072E+00,0.000000E+00,2.238162E+04,0.000000E+00,8.778245E-01,0.000000E+00
04:30:00,1.078221E+03,0.000000E+00,4.229414E-02,0.000000E+00,5.068721E+04,0.000000E+00,1.988219E+00,0.000000E+00,2.240327E+04,0.000000E+00,8.786736E-01,0.000000E+00
